pp,ui,cg,des
"Geo location data, which is any Information which indicates the geographical position of your device and which may include the time the location was recorded, and may include precise (e.g., GPS-level) location data. ",get location,get last known location provider request map record current location get longitude get latitude tag photos with location,Gallery can take photos and record the location where you take them You can manage your photos and pictures by different folders or by location
"When you visit the mobile application, we may use GPS technology (or other similar technology) to determine your current location in order to determine the city you are located within and display a location map with relevant advertisements.",current location current mileage find vehicle relocating vehicle location previous location set new location start tracking please enable location feature in your settings,get latitude get longitude dispatch time start ensure auto night mode manager map night mode apply day night get night mode,The service option of GPS-tracking of transportation routes simultaneously use the data obtained from the mobile devices with built in GPS.
"We may collect your location information to add geo tags to the photos and videos you take on our services. With your consent, we may collect such information through GPS, wireless network, wifi network, etc. You can revoke your consent or turn off geo tags by changing your location permissions in settings.",get location add tag,run backgroud get current location select photo tag location set,tag your photo with the location.
"When you open the Application, we may use GPS technology (or other similar technology) to determine your current location and display a location map.",get location navigate to,get last known location start map navigate request location update get current location get longitude get latitude,this app will display the current location for faster navigation to the free wifi station
"When you use the mobile application, we do use GPS technology (or other similar technology) to  determine the device speed, this is the core functionality of the application.",get location,request location load engine enable location sensor get speed get time get request map get latitude get longitude background run get last known location ,"Just launch the app, wait for a couple of seconds for the GPS to lock and you are ready to go, monitor your speed on the map"
"Location data are used to provide the user with information about cultural assets and events in his proximity. Location data can be stored and subsequently analyzed to provide better and more accurate location services, also based on the user preferences.",get location,location package get accuracy get current place get location get last known location map,Geographical location to easily visit the cities;7
With respect to the Personal Data used in the Service we only collect IP Addresses and certain coarse geolocation and Internet Service Provider information associated with that IP Address.,Latitude Longitude Start Logging ,start location run start get latitude get longitude stop location set loatitude set longitude,Get your location based on your ip address.
"We may collect and process your location data to provide location related Services and advertisements. For example, some add-ons or offers may be available at dedicated locations. The location data is processed?? and stored only for the duration that is required for the provision of the location related Services.",get location,get location click start click get last known location set longitude set latitude fill location create advertisement manager,This app use location information to provide relevent service.
"In some cases we collect and store information about where you are located. This may be accomplished by converting your IP Address into a rough geolocation, or by requesting location information from the device you are using to access the Services.",get current position,check get current position event listener added use update location get provider ,This app uses your location and gives you a menu of common quality-of-life conditions to choose from in your service request
"As an integral part of providing the Services, we may use GPS, or other technology to collect geolocation data that tells us your current location.?? This allows us, for example, to assist you with finding parking, or provide you with an interactive map of the park.",get location find nearby events,location package get accuracy call location outside fence location get current place log play event call log play event ,"Everything you need to make your day at Canada's Wonderland the best day ever!The app uses your location to keep you up to date with offers, events and activities relevant to your location"
"Track the distance covered, working duration, battery percent, real-time location, GPS position of your executives. Play their entire route with the click of a button.",show on map,get hire marker get worker current location menu selection hire available,Lystloc is a location intelligence solution that helps organizations to track their employees and vehicles in real-time easily
"Certain features available in the Service may allow or require us to obtain your location information, including GPS coordinates in real time (?€?GPS Location?€?).",get location,get current location background get last known location share get contact select send,Detailed maps with your GPS location Send your current location to friends or family via text message or email.
"Our apps offer GPS directions to the organization or any other locations placed in the app. In order for the GPS feature to work, the app needs to use the GPS system on your device.",get location,build table view click get last known location run run start activity result get current location click listener show multiple show location available,App features include GPS directions.
"When you use a location-enabled Product or Service, we may collect and process information about your actual location, like GPS signals sent by a mobile device. Further, we may also use certain technologies to determine location, such as sensor data from your device that may, for example, provide information on nearby Wi-Fi access points and cell towers.",start location get current location set destination track driver,get last known location request location update set destination request map display traffic share location select contact ,"Get real-time GPS navigation, traffic and explore nearby places, and you can share you current location."
"Depending on the Crises Control services that you use, and your app settings or device permissions, Crises Control may collect your precise or approximate location information as determined through data such as GPS, IP address and Wi-Fi. We use location information for safety and security reasons to know your approximately location, who is closest to an incident and user's locations in relation to the incident.",get location,get last known location apply day night set local time get time,"Incident location, who to contact, supporting media and/or documentations."
"This app automatically detect or infer your location using GPS, your IP address, watermarks, but often your operating system will require you to grant RBL permission to access your GPS",get location,get accuracy get longitude get latitude get time,RECORD_AUDIO & COARSE_LOCATION: This is required to analyze offline TV viewing data and serve media-targeted ads
We collect general location information (e.g. your physical or postal address or your device?€?s IP address) or more specific location information (e.g. precise location from your mobile GPS) when you use certain features of our services. ,get current location locating breaking news get weather ,get current location find news article share create measurement get weather ,"Customise alerts for breaking news, location and interest-based notifications  ?€? Set your weather based on your geo-location or chosen location"
"This Privacy Policy applies to all our websites, mobile or tablet applications, including GPS, Disc Golf, Handicap, and Toll Calculator apps.",get location,get last known location get longitude get latitude receive start navigation update location run background,Option to calculate route from current location using GPS
"When you install the Applications, you may be requested by the Device operating system to provide your consent to the use of your location by the Application.",get location,get request map get longitude get latitude load ad get time get bearing location get distance,Application tracks your distance and bearing from a given memorized gps location
"We may collect automatically Location information that allows us to periodically determine your location, including your location relative to and within third party merchant locations.",get location,get longitude get latitude get time get accuracy better location get last known location track location request location update,* `FindMe` displays your exact location and `Auto Tracking` displays your movement on the map (this feature is not supported on devices without built-in GPS hardware)
The location data collected through an app depends on your device settings and app permissions. ,get location,invoke request single update get current position get latitude get longitude,Access location and speaker information at your fingertips
"Used for accessing the User's approximate and precise device location. This Application may collect, use, and share User location Data in order to provide location-based services.",From station To station Leaving after Arriving by Plan Trip ,get last known location get latitude set latitude get longitude set longitude find get distance,Location based station and stop finder
"We may also collect location information, such as your device GPS coordinates, unless you configure your device operating system settings to prevent our collection of location information.  We use this information to enhance the services we offer, provide targeted advertising, and to help us understand how people use the Site and Services.",get location weather,write parcel location transact set mock location start get time set latitude set longitude ,Immediate access to your nearby Muni stops based on your location Current weather conditions in San Francisco
"For mobile issues and service requests we will use your GPS information, or the GPS location you provide, to help us identify the location",get location,start location set click listener get location resume run provider require location update update location address display location send location,"Just select your issue, and take a picture - the app knows the location and sends it right into the city's CRM or 311 System"
"the use of certain functions will require an internet connection and, where applicable, access to the device?€?s geolocation data.",start location get current location set destination track driver,get current location add location set latitude set longitude set notification ,"App can access your location and GPS information to: send you notifications, process your tracking stats and determine your position"
"When you use a location-enabled Microngames service, we may collect and process information about your actual location, like GPS signals sent by a mobile device.",get location,start add status listener get last known location get longitude get latitude set click listener click fill location set text,tag your photos with current location.
This app requires gps and location data.,get location,get accuracy run get last known location get longitude get latitude run update state apply,map With GPS
"By using the App, you will share with us your actual physical location. We use this location information to plot run traces using the GPS functionality of your mobile device.",get location,get longitude get latitude get last known location,Access GPS location data.
"We use GPS technology (or other technology) to determine your geographical location, to calculate your geographical proximity to other users, and to operate and improve the App.",get location,get location string get location set longitude set latitude retrieve latest position get location string send big picture notification message received get location ,"We have to ask for your location occasionally, so you can help in emergency situations, If you are in danger, we will transfer your location in real-time, resulting in higher consumption"
"The companies for which service providers work (that are providing the construction service) are also able to access your Personal Information, including your geo-location data. With respect to geo-location data we track through your Mobile Device, we use that geo-location information for various purposes ?€? including for you to be able to view the service providers in your area that are close to your location, for you to set your service location, so the service providers are able to find the service location, to send you promotions and offers, and to allow you (if you choose through any features we may provide) to share this information with other people.",get current location,get current location get latitude get longitude new search request remove location,The Contractor (aka Keeper) arrives at your location the same day
"Geographical Location Information. In addition to the approximate geographic location information collected as discussed above, we may, with your consent, access more specific location information to enhance the user experience and increase the usefulness of the Services. This includes both geographical location information that you input using the Services (e.g., when you enter your physical address) and geographical location information collected by device-based location services, such as GPS data and data collected by similar technologies.",scan barcode get nearby event,scan submit find location get provider run show location information set get time ,"You can even scan the ISBN barcode of any book with your camera to find it in the HCPL catalog! Discover contact and location information, library hours, and upcoming events"
The app can request your GPS location when using the map feature to find directions to the cinema/site.,map to us enable location permission select cinema ,start map task get location request location ,"Location, Phone, and Web Browser permissions used for extra cinema information only"
We may collect and process your location data to provide location related Services and advertisements.,to continue please enable your location service,request location get last known location get longitude get latitude set location set latitude set longitude enable ad management load ads,"Access to your location to provide you with nearby offers, events, and advertisements."
"To provide you the Services, the Software tracks the GPS location of the handheld mobile device on which the Software is installed. The Services also allow Users to hail a vehicle for hire from select commercial locations (e.g., a Starbucks).",start location get current location set destination track driver,get last known location get accuracy run request map start show current location get distance,The application displays real-time location of your driver
"Geolocation???€? When you use your account, we check where you are so we can make our app more personal. We only show you promotion locations using GPS.",get location,new search request provider map night mode map night mode apply day night run check get longitude location set local night mode night update state get accuracy location accurate location better location,"Unique promotions using location, ibeacons and answer possibilities"
This app requires access to your current location.,get current location,request map get last known location request ad management open map display current location,An app that display your current location via GPS.
The application use the GPS position only for its display on the map.,start map navigate set trainning plan set workout plan total pace current speed average speed average bpm current bpm set calories activate tracking view history,receive run background set click listener click set accuracy get last known location get speed set speed get latitude get longitude set location get time ,"this app is a GPS Tracking App which allows you to track your fitness activities like WALKING, RUNNING, CYCLING and GYM Workout"
"Current location permission is necessary if you are using our GPS, Route finder or Earth map applications. It will just access your current location.",New Track GPS Route Map Previous Track normal satellite terrian hybird ,get last known location connected map start map display location update get destination location run search route start,"You just type the name of your destination location, gps app will give you shortest, safe and easy driving route from your current location to target destination"
we may collect and process your location data to provide location related Services and advertisements.,find hotel get location,activity result receive location get current location set latitude set longitude search hotels nearby,Poznan Hotels app is able to locate the nearest hotel to you based on your current location
"For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information, including but not limited to approximate location (network-based),precise location (GPS and network-based).",Search by position navigation home,get time get last known location view find users start map run display map,Users can view other users profile and have the ability to connect with them on your nearby location
We use GPS technology to determine your current location.,find your location open map start navigation search enable gps,get accuracy get last known location get time map finished moving address set latitude set longitude,"There is no need to hail a taxi from the street when we can find you with our GPS locator, With intuitive GPS capabilities, you don?€?t even need to enter your address, simply ?€?find your location?€?"
"The Apps automatically collect detailed location and navigation information, in the form of GPS signals from the mobile device on which you have installed and activated the App (""App Location Information""). Whenever you open, use or interact with the App Services, we use your App Location Information (e.g., latitude and longitude) to tailor the App Services experience to your current location. We also use your App Location Information to provide certain App Services, including to send you notifications of friends, events, or other relevant information that are near to you.",get current location find friend on map share location,location run create request location start get location handle intent get accuracy start location update run share location select contact ,Find and track your friends on the hiking trails and Send dynamic messages to your friends based on your location
"When you use a location-enabled Fotoable service, we may collect and process information about your actual location, like GPS signals sent by a mobile device. We may also use various technologies to determine location",get current location,activity result request location get user parse user location check location provider prompt enable get store user location get location ,Accurate prayer times based on your current location
The application collects GPS (Location Service API) details to display data most relevant to your location. The GPS data is not stored or shared and is merely used for searching the database. The GPS data is discarded on presenting the search results.,get current location Search Hotels Search Price set radius ratings,stop location start location remove run start get current position find nearby set longitude set latitude get time get accuracy,"The app provides detailed info about hotels' ratings, location details, cuisine served, contact info, etc"
We collect location information associated with the use of an Application either (i) through the real time longitude and latitude from your GPS-enabled wireless device or (ii) based on location information you enter into your mobile device. Location Information is used to provide relevant information about the properties you are in front of or in proximity with.,start location get current location set destination track driver,request current location distance location set latitude set longitude click start search update property information get nearest property,"Use the app anytime, anywhere to pull up available properties around you using the GPS search, or find homes based on address, city or zip code and have complete details on all properties including price, descriptions, pictures, maps and more!"
"We collect certain information from your mobile device, including but not limited to the following: Location Information that allows us to periodically determine your location, which may include your location relative to and within third party merchant locations.",get current location find ,set location accuracy get current position set longitude set latitude click listener click search nearest golf range request map start map,Find the nearest golf range around your current location.
This app collects your precise location information in order to be able to compute the sunrise and sunset timings at your exact location.,Sunrise Sunset Calculator My Current Location Point on map Enter Latitude and Longitude ,get last known location calculate sunrise sunset find current location get time get request map,Get sunrise sunset time based on your location or any given locations.
"Device locations, including specific geographic locations, such as through GPS, Bluetooth, or Wi-Fi signals as Onlime Services are location based.",get current location,get current location search nearby dealers get accuracy get time,"You can refine your search by make, model, location and more, and then talk directly to the seller to view the car and agree your purchase"
"When you visit the mobile application, we may use GPS technology (or other similar technology) to determine your current location in order to determine the city you are located within and display a location map with relevant advertisements.",get location,get longitude get latitude start map get current location get distance to driver display remaining time,Real-time location of driver and estimated time of arrival and Lookup future pickup times and locations
Collecting location data ?€? our website also includes ?€?location-based services?€? that we can use to provide you with special offers that are tailored to your location.,search get current location explore nearby display routes bus subway taxi walk,start set click listener click get current position set click listener lick set destination set click listener click start show routes run set click listener click taxi set click listener click bus set click listener click subway set click listener click walk,"The user is guided via GPS navigation from his present location to his location of choice, be by showing the route in the map, by public transport or taxi"
This app requires permission to access your current location.,Current Location Auto Track Location Changes Now obtaining GPS ,set click listener location click process click click resume create request location update get status get time get latitude get longitude,"Location can be set using: Phone network, GPS, City/Country (requires data connection), Latitude/Longitude, Google Maps (through Qibla tab, also requires data connection)- Auto track location and timezone changes, when location set using either phone network or GPS"
This app??collects and stores??data from the device?€?s GPS,search,start request location get last known location start satellite request update get current location get time get location provider,Make search based on your current location
"When you use WCA services, we may collect and process information about your actual location. We use various technologies to determine location, including IP address, GPS, and other sensors that may, for example, provide WCA with information on nearby devices, Wi-Fi access points and cell towers.",get current location,record current loction set loction provider get current location get last known location get time start logging run set click listener click check history crew evaluation records ,"This app incorporates the use of GPS technology to better maintain and track work history records, schedule future work, and assist with budget management"
"When you visit the mobile application, we may use GPS technology (or other similar technology) to determine your current location in order to determine the city or region you are located within and display a location map with relevant advertisements.",get location,get content get latitude get longitude get distance,Get your current location to find the city or region you are in.
We collect location information associated with the use of an Application either (i) through the real time longitude and latitude from your GPS-enabled wireless device or (ii) based on location information you enter into your mobile device. Location Information is used to provide relevant information about the properties you are in front of or in proximity with.,get location,start session get accuracy get time get current location set location search nearby house ,"Use the Brand Name Real Estate Mobile App anytime, anywhere to pull up homes for sale around you using the GPS search, or find homes based on address, city or zip code"
"Through specific device permissions, you may also grant us the ability to collect additional device information. This can be data from sensors such as your GPS location (latitude/longitude) for location-based searches",Send Current Location OR SELECT FROM NEARBY PLACES ,get current location append text share location send message,#NAME?
"If you enable location-based services by the Service and your mobile device, the Service may collect data about your geographic location. Such location data may include, for example, geographic coordinates or other data used to determine your location using GPS, IP address, Wi-Fi, or other technology to determine the location of your device.",location get direction,start location service get longitude get latitude click request map service start map set destination get direction get distance,It will help you to find the locations get directions from your current location to destination.
"On our ""Find Me"" page, and only if you agree to share your current GPS coordinates, we will find your location (as best it can) and show stops around you.",get location,register connection get location get longitude get latitude search nearby stops display on map service connected disconnect,Find Me feature allows for device GPS search of stops around you Save frequently used buses and stops for quick access See where your bus is on a map
We may ask for permission to access your current precise location using gps.,get current position,start gps location get sensor get altitude sensor get speed sensor get bearing sensor get last known location get time set local time ,Location: Used to access GPS for location-based experiments
"We track your location. When GPSLogger records your location, it is only recorded to the file formats or destinations specified by you",Latitude Longitude Start Logging ,run get longitude get latitude get last known location set location file start logging,used to determine your GPS or tower based location
"Your personal data collected through mobile applications and/or websites, or any other means, your location and activity on our platforms, including the IP you connect from (for reasons of security and fraud), and other necessary data, are used to provide you with our services. If you use a mobile app to access services, you have the option of using the device's locations services to share your location with your Skitude friends. Your location will also be used to show you relevant information and advertising.",get current location,add resort circular get accuracy location get current place set notification view prompt notification ,"the App can access your location and GPS information to: send you notifications, process your tracking stats and determine your position"
"?€???Geolocation.??With your permission, your mobile device?€?s geographic location (GPS) when you first register for Coffee Meets Bagel through our mobile app or when you enable location services within the app.",get location,enable location run register activity get instance get last known location request location get instance,Permissions to access location are strongly suggested
???? The Mobile Punch Application will have an option to disable GPS Tracking automatically after the Max Allowed Punch Length Time has been exceeded (shift length) to avoid tracking Employees outside of work hours.,get GPS,create instance get location get accurate gps get longitude get latitude disconnect restart capture location,Capture GPS Coordinates at time of Clock In\Out for verification of location
"If you elect to save favorites through the App, with your permission, your location data from your device may be collected to, for example, respond to your requests to locate UPS locations and to initiate shipping transactions.",get location,get location request location get fresh location search nearby UPS,"Find the nearest UPS location to pack, send, or collect your shipments"
We collect location information associated with the use of an Application either (i) through the real time longitude and latitude from your GPS-enabled wireless device or (ii) based on location information you enter into your mobile device. Location Information is used to provide relevant information about the properties you are in front of or in proximity with.,get location,get location provider get current location get longitude get latitude search location nearby,"Pull up homes for sale or rent around you using the GPS search, or find homes based on address, city or zip code"
"The App will access your phone contacts and export them using one of the following methods: Send them as an email attachment to a destination of your choice. Save them as a file in the storage of your phone/device. Transfer them to the Site, as an intermediate stop for another phone/device.",Import Contact Contact Transfered,import contacts create new contact insert contact name insert contact photo insert contact address,"This app can import, export, and transfer your contacts."
"Interactions that you have with other users or content on the Service, and When you give us authorization, contact information of your friends from your mobile or tablet devices to connect your contacts and address book information with your Clikon account.",Please grant Clikon permission to access contacts on your phone Add to Favorite Save Contact ,selection string add print stack trace get activity build hide soft input window click value apply batch trim get context length set text get window token get text get current focus get system service dismiss get content resolver new update set visibility ,syncs  with  contacts  and  you?€?re  ready  to  go. add  your  favorite  contacts  in  app  home  screen  to  make  the  call  within  a  couple  of  touches.
"JHINGUR.online may collect information from you, this may include technical or other related information from the device used to access JHINGUR.online including without limitation contact lists in your device",To body send ,click run create contact group,it  will  not  read  your  contacts  saved  in  phone  but  you  can  create  separate  contact  list  so  that  contact  would  be  added  in  jhingur  as  your  preference.
"we collect the automatically given information provided by Facebook such as public profile, friends list and e-mail. ",Set As Ringtone Set As Contact Ringtone Set As SMS/Notification Set As Alarm Tone Set Timer Credits Author name treba ovde ,click set ringtone assign contact get contact ,Set  sound  as  default  or  contact  ringtone
Permission to access contact information is used when you search contacts in zHorizon Apps.,Caller Id,receive information get contact get caller id get caller name,Read  contacts:  To  read  the  device  contacts  to  provide  caller  id  information.
"Application uses contact permissions: Contacts (read your contacts) - connecting Your contacts with profiles (name, avatar, sending reports)",Add contact to fill this list,click add people add contact name add contact photo,"Contacts  (read  your  contacts)  -  connecting  Your  contacts  with  profiles  (name,  avatar,  sending  reports)"
Yabb may periodically access your contact list and/or address book on your device to find and keep track of mobile phone numbers of other users of our Service. You hereby give your express consent to Yabb to access your contact list and/or address book for mobile phone numbers in order make a copy of the phone numbers and names in your address book,Invite Contact Select,set click listener click get contact details get contact name get contact number,Find  contacts  who  are  already  on  Yabb  and  invite  those  who  aren?€?t.
Yabb may periodically access your contact list and/or address book on your device to find and keep track of mobile phone numbers of other users of our Service. You hereby give your express consent to Yabb to access your contact list and/or address book for mobile phone numbers in order make a copy of the phone numbers and names in your address book,Add to existing contact Create new contact Contact Auto Sync,add number perform sync contact list,Easily  add  friends  to  your  contacts  list  with  Yabb  Auto-sync.
This includes our use of the data that our Users provide us in order to enable our Users to use the Services to communicate with their contacts.,Import Contacts Select Google Contacts Local Contacts File Start Import Cancel,click import items get contact,"Contacts  Import:  Import  business  contacts  from  Google  contacts,  phonebook  or  excel  sheet."
"The app has access to your contacts, but it doesn't store this information in local database and use it only while shortcut creation.",Select Contact Contact Shortcut,get contact list ,Read  your  contacts  is  required  for  selecting  some  contact  which  will  be  used  as  target  for  a  shortcut.
we request access to your contacts stored within your Device to help you find your friends on the Services and access to your music library on your Device to help you find the music you love.,Searching?€? Please use 2 or more characters when searching. ,click execute background get contact phone number get contact background ,Use  your  contact  list  to  invite  friends  to  events  or  find  friends  already  using  Bandsintown
"If you choose one of the options (share, more apps?€?) that you may encounter in the application you will give the permission for Social Networks and other Portals to collect the information about you. They will have the access to your user name, contact data, and the rest of data that could be found in your profile account.",Cut Tools Ringtone Contact Ringtone SMS Alarm Favorite ,click assign contact get contact list open input photo stream,Assign  different  melody  for  every  contact
"Contacts permission Used for accessing contacts and profiles on the User's device, including the changing of entries.",Favorite Contacts Contact Info,read contact get conntact list get contact name image dummy main method start command ,Slide  a  contact  to  left  to  call  or  send  a  message  directly and quickly  call  your  favorite  contacts!
"Should Islamic Apps request and collect any of the following permissions or sensitive user data: microphone, camera, accounts, contacts, or phone, the data will be handled securely",Quran Mp3 Ringtones Set as ringtone Set as notification Set as contact ringtone Set as alarm tone Ad Get more apps Share this super cool app Privacy Policy ,get stream get contact photo stream get stream content set ringtone for contact,"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts"
Read contacts to Retrieval of data for displaying the upcoming birthdays of your contacts.,Settings ,get contact create birthday notification ,"READ_CONTACTS  to  read  your  contacts, Home  screen  widget  displaying  the  upcoming  birthday  and  anniversary  dates  of  your  contacts"
Our service also need access to your device contact to add people from your device address book to skype contact list,video chat call select contact share,start call invite get contact ,"Simply  tap  on  the  call  tab  on  Skype  Lite,  and  start  the  group  call  with  your  friends  on  Skype  Lite.  You  can  also  share  a  Skype  Lite  group  call  link  with  your  friends  on  popular  social  apps  like  WhatsApp,  Facebook  Messenger  or  SMS,  and  invite  them  to  join  the  call."
The ContactsPoint App provides a way for users to import their contacts from an old mobile phone into the Smartphone where the App is installed and used.,Import Contacts Contact transfered from your old device,process queue save contact run ,This  application  allows  you  to  transfer  within  a  few  seconds  all  your  contacts  to  your  new  phone.
"For a better experience while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to address camera, location contacts and storage. ",Contact Generate QR Code ,click launch contact activity create qr,"Barcode  and  QR  scanner  can  scan  and  read  all  QR  /  barcode  types  including  contact,  email,  and  many  other  formats."
The numbers to be contacted are downloaded to the phone and dialed using the native dialer.,Name Telephone ,start activity result click get contact info,"Activate  your  astDial  account,  upload  contact  on  cloud"
"The App ?€?SWYNC?€? (hereafter ?€?App?€?) is a platform for the synchronization of contact data of users. The regular updating of his/her data is the only task the user has to do; the App synchronizes them with the data of the other users in the user?€?s address book. In order to guarantee the functioning of the App, it is indispensable that the App gets access to contact data/address book of the user?€?s device and that the users keep their data up??to??date.",Loading contacts Add Contacts ,get contact information get contact id modify contact delete contact insert new contact,"The  phonebook  Contacts  App  helps  you  to  modify, delete and insert contact."
"VshGap can optionally discover which contacts in your address book are VshGap users, using a service designed to protect the privacy of your contacts. Information from the contacts on your device may be cryptographically hashed and transmitted to the server in order to determine which of your contacts are registered.",Create Group Add Select Contacts Start Group Chat Invite Contacts Share with Contacts,load resource get contact open contact photo input stream ,"You  can  send  an  unlimited  amount  of  messages,  photos,  videos  and  files  of  any  type  to your contacts and have group chat with up to 200 contacts at a time."
"Contacts: Some of our App(s) uses this permission to provide some functionalities such as view or edit existing contact(s), add new contact(s) or delete contact(s) as per your action taken from our App(s).",Contact Details Name Address Phone Number Share Contact Add Favourite Contact ,click activity result get contact data get contact details get name get address get phone number set click listener click share contact set click listener click add favorite,This  app  uses  Read/Write  Contacts  permission  to  read  contacts  per  your  action  taken.
"Contacts: Some of our App(s) uses this permission to provide some functionalities such as view or edit existing contact(s), add new contact(s) or delete contact(s) as per your action taken from our App(s).",No Contacts Found Click on + button to add contacts ,set click listener click add contact append update set text get content resolver ignore case value ,This  app  uses  Read/Write  Contacts  permission  to add/delete  contacts  as  per  your  action  taken.
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning the ringtone to desired contact",Set ringtones for contacts Select Contacts Save,click set ringtone assign contact get contact by name,"READ_CONTACTS,  WRITE_CONTACTS:  for  internal  use  for  the  purpose  of  assigning  the  ringtone  to  desired  contact"
"We may request access or permission to certain features from your mobile device, including your mobile device?€?s contacts, and other features.",create contact csv file update import contact from file,start call resume start next selected call update list view selection post execute post execute start task handle result post execute start next call get selected contact call context item selected handle call record result get post execute set current call ,You  can  import  thousands  of  contacts  into  separate  groups  from  a  spreadsheet  (CSV)  in  seconds.  The  contacts  are  synced  real-time  from  your  computer  with  your  Android  app.
This app(Multilanguage Keymap Redefiner) use ?€?android.permission.READ_CONTACTS?€? permission. This permission needed for autocompletion when you are using on screen keyboard.,Use names from Contacts for suggestions and corrections,get contact info get contact name,READ_CONTACT  permission  needed  for  autocompletion  when  you  are  using  on  screen  keyboard.
"Contact Permission: Access to get contacts id. Through contacts id, one can set Contact image URI(Uniform Resource Identifier) and set Ringtone audio URI Directly from application.",Backup Contact List Restore ,get photo background execute background click fetch contact id phone number get photo ,"Recover  Deleted  All  Photos,  Files  And  Contacts."
"Should Customize My Phone request and collect any of the following permissions or sensitive user data: microphone, camera, accounts, contacts, or phone",Horror Ringtones Scary Sounds Set as ringtone Set as contact ringtone Set as notification Set as alarm tone Share this super cool app Get more apps ,get stream get contact photo stream get stream content assign ringtone contact save update,"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts"
"AHS Studio may ask its users to allow access to various features of their smartphones such as camera, microphone, contacts and location solely for the purposes of aligning with the features of our services and products.",Add To Favorite Cancel ,set click listener execute click get contact list add to favorite,You  may  create  favorite  contact  list  for  privacy  or  may  put  contact  list  in  the  privacy  to  secure  your  contact  while  ring.
Need personal data such as contact permission,Contact info on your device ,set click listener get account get detailed contact list click get background get contact cursor get contact cursor execute open account file update data bound share click ,Edit  contacts  and  add  notes  to  the  people  you  meet.
"Our application get user's family/friends phone number and save into the application, Which means it makes the user to enter the individual contact to store in the application",Select Contact Show Contact Numbers,activity result get contact details get contact number display,Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app.
"The Application requires permission to get user contact list to share resources (people and their info, ex. phone) among projects.",Share Choose a Contact Choose a Phone Number,click share get contact open input stream,PERMISSION  for  reading  contacts: It  allows  you  to  share  the  same  resources  accross  multiple  projects.
"This type of service makes it possible to manage a database of email contacts, phone contacts or any other contact information to communicate with the User.",Import Contacts,activity result set click listener click get contact details,Import  persons  from  your  contacts  or  a  Google  spreadsheet
We Read your contacts: Revolutionx Apps does not save or upload your contacts.,Announce Caller Name Announce Sms Sender Name Announce Sms Content Volume Languages Settings Do not annpuncer list More apps Rate us ,retrieve contact number activity result get contact name announce receive get stream get contact photo stream get stream content ,You  can  create  list  from  your  contacts  to  exclude  them  from  caller  name  announcement. Calling  person  name  if  exists  in  your  contacts.
