Original Description,Synthesized Descritpion,Permission,Semantic Rating,Syntax rating,Length rating
Microphone  live  streaming  from  your  Android  device  to  any  streaming  music  player. Capture  sound  from  your  microphone  and  stream  it  live,use your microphone you can stream record your voice,MICROPHONE,,,
"Option  to  take  photo  remotely  by  making  a  noise  (e.g.,  voice,  whistle),  or  by  voice  command  ""cheese"".",you can record your voice using microphone,MICROPHONE,,,
The  app  needs  record  audio  permission  to  use  the  microphone  for  speech recognition.,this app will use your microphone,MICROPHONE,,,
Voice  control  calculator  will  automatically  calculate  what  you  say. It's  very  easy  to  use  and  very  quick  in  calculating  your  voice.,app access microphone record your voice,MICROPHONE,,,
"It  is  a  simple  voice  recorder. To  use  this  application,  you  need  permission  to  use  storage  and  microphone  audio",this app access device microphone you can to record your voice,MICROPHONE,,,
"KangaROOS  can  control  LED  lights  through  the  mobile  phone  APP  to  achieve  patterns,  text,  graffiti,  music  rhythm,  microphone  rhythm  function.",app need microphone permission,MICROPHONE,,,
"Using  voice  to  text  Amharic  keyboard,  you  can  send  voice  text  to  all  the  messaging  application  on  your  phone.",app need microphone permission to record your voice,MICROPHONE,,,
Clicking  on  the  microphone  icon  it  will  be  possible  to  record  the  pronunciation  of  the  word  using  your  own  voice.,this app uses microphone permission to record your voice,MICROPHONE,,,
It  also  detects  the  fundamental  frequency  of  the  audio  (detected  by  microphone).,this app uses microphone permission to detect sound frequence,MICROPHONE,,,
Our app uses microphone resource,record microphone support,MICROPHONE,,,
"The  application  allows  you  to  measure  the  actual  sound  pressure  level,  expressed  in  decibels,  using  the  phone's  microphone.",this app uses microphone on your device,MICROPHONE,,,
"In  addition,  since  dB  Meter  uses  the  microphone  integrated  within  your  device,  which  was  designed  to  record  human  voices,  it  may  not  be  able  to  precisely  measure  very  loud  noises  (>  90  dB).",this app uses microphone permission to record your voice,MICROPHONE,,,
"Record  Video  Calls,  SMS  chat,  Phone  Calls  with  just  one  click. Audio  +  Video  Recording  and  HD  Quality  Available.",record audio data using microphone on your device,MICROPHONE,,,
"You  can  record  the  practice  on  ""Metrothm""  with  the  smart-phone's  microphone.  So  you  can  check  the  recorded  practice. ",record practice with device microphone,MICROPHONE,,,
Children  can  record  your  voice  and  Santa  Claus  repeated  that  special  message. Click  the  microphone  and  your  voice  is  recorded.  A  papa  noel  then  repeats  what  you've  recorded.,the app uses microphone you can to use record your voice,MICROPHONE,,,
"Video  settings:  resolution,  frame  rate,  4K  UHD,  external  microphone  support,  video  audio  recording ",download and use your microphone,MICROPHONE,,,
Play  by  just  touching  the  screen  or  enable  microphone  control  for  the  full  experience.,micophone support,MICROPHONE,,,
"Record  voice  notes,  rehearsals,  classes,  memos ",this app uses your microphone to record your voice,MICROPHONE,,,
Hearing  individuals  speak  into  the  microphone.  Their  speech  is  transcribed  to  text  and  displayed  in  the  note  pad.,app use microphone of your microphone to record audio,MICROPHONE,,,
you  can  also  record  audio  from  the  microphone  and  it  is  automatically  mixed  into  the  recording.,this app uses microphone permission to record audio data,MICROPHONE,,,
Click  on  microphone  and  microphone  turns  green. In  return  keyboard  will  type  your  voice,press button to start record microphone,MICROPHONE,,,
"listen  to  the  phone  surrounding  audio  live  through  your  phone's  microphone,  or  take  a  remote  record  of  microphone ",this app will use device microphone to record your voice,MICROPHONE,,,
The  lights  while  recording  will  tell  you  how  much  noise  your  microphone  is  capturing.,you can measure sound level with microphone from your device microphone,MICROPHONE,,,
For  your  audio  ensure  you  are  using  a  decent  microphone  and  in  area  where  you  have  no  background  noise.,external microphone support,MICROPHONE,,,
"Auto  Recorder,  starts  and  stops  the  record  function  when  sound  of  a  sufficient  level  is  picked  up  by  the  microphone.",this app will use microphone permission to record your voice,MICROPHONE,,,
"It  covert  your  voice  at  high  volume  like  a  loud  speaker  mic.  You  can  use  it  for  voice  chatting,  recording,  and  recognition.",record microphone support,MICROPHONE,,,
Tap  the  MICROPHONE  and  your  voice  is  RECORDED.,the app uses microphone permission you can use to record your voice,MICROPHONE,,,
Access to your device microphone,this app uses microphone of your device,MICROPHONE,,,
"The  App  will  use  your  microphone  signal  for  all  demonstrations.  Please  grant  the  App  access  to  the  microphone  when  prompted,  and  enjoy! ",the app you can use your microphone,MICROPHONE,,,
The  microphone  permission  is  used  so  that  you  can  request  schedule  information  by  speaking  a  request.,you can use microphone to record your voice,MICROPHONE,,,
"Audio  Recorder  is  mostly  known  as  professional,  easy  voice  and  call  recorder  for  Android  devices.  Use  it  for  record  voice  memos,  talks,  music  and  songs  in  high  quality.",the app access microphone of your device microphone to you can use to record your voice,MICROPHONE,,,
Record  high  quality  audio  from  the  microphone  simultaneously  with  the  phone  screen.,you can use microphone use to record your voice,MICROPHONE,,,
this  app  takes  control  of  your  microphone.,record microphone support,MICROPHONE,,,
"Record  unlimited,  high  quality  audio  with  Voice  Memos  using  the  built-in  microphone,  your  headset,  or  an  external  mic.",this app uses microphone permission to record your voice,MICROPHONE,,,
"RecordIt  is  a  sound/voice/microphone  recorder  that  lets  you  record  in  both  3gpp  and  wav  format,  so  you  can  choose  your  preferred  quality.",record microphone support,MICROPHONE,,,
This clock weather app displays weather temperature based on your current location,this app shows weather nearby your location,LOCATION,,,
This clock weather app displays weather temperature based on your current location,access your location to get nearby weather forecast,LOCATION,,,
This clock weather app displays weather temperature based on your current location,this app shows weather nearby your location,LOCATION,,,
This clock weather app displays weather temperature based on your current location,you can use can get weather forecase based on your location data,LOCATION,,,
This clock weather app displays weather temperature based on your current location,this app reads your location you can search nearby service,LOCATION,,,
This clock weather app displays weather temperature based on your current location,access your location and gps data,LOCATION,,,
This clock weather app displays weather temperature based on your current location,get current location of your device,LOCATION,,,
Retrieve the location of your phone via email or MultiMapPro,access location data from your device,LOCATION,,,
GPS positioning,access location and gps data,LOCATION,,,
"Write your note/diary anytime, anywhere and able to organize them by location ",this app reads your location data to location tagging,LOCATION,,,
Access weather information from the closest NOAA buoy to your current location,get weather nearby based on location data,LOCATION,,,
Use GPS to monitor your actual speed and give you sound/voice/flashlight alarms when you exceed a speed that you asked it to watch,get location data get speed access your gps data,LOCATION,,,
The compass built into the app shows the position and distance to the loved person,this app uses location permission to set navigation,LOCATION,,,
You can discover new camping locations around you or anywhere on the map,the app uses location data to get current location on map,LOCATION,,,
"Navier HUD calculates the real-time information via the phone sensor, such as GPS and gyroscope ",access location and gps data,LOCATION,,,
Record travel path by GPS,access gps to record your location,LOCATION,,,
enter the coordinate to find the current position of your stolen phone on map,the app uses gps map display your location,LOCATION,,,
"Locate your family, friends on the map ",access location information,LOCATION,,,
"Search and get transit route to the places, from your location or between any two locations ",the app access location information you can navigate locations on map,LOCATION,,,
"This application helps you to create a friend circle where you can share your location, track your buddies location ",this app use read contact permission to read contact,LOCATION,,,
"A date and time stamp on photos, location coordinates and implements a custom text ",tag your photo with location information,LOCATION,,,
Camera can remember your photos and videos location if you wish,read your location,LOCATION,,,
Location access for location based search,app use location information,LOCATION,,,
"Application uses Android device GPS(BEIDOU, GLONASS) to track your activity and track your progress live on map ",this app uses gps data to track location,LOCATION,,,
location based push notifications for newly detected fires within a range of your last known location or location preference,this app read your location information,LOCATION,,,
"Accurate positioning: automatically locate your position, and able to track weather in multiple locations ",track your location with location data,LOCATION,,,
Sharing Current GPS Location,this app read your location and gps data,LOCATION,,,
Status bar on the home screen displaying the current temperature for your current location,access location information,LOCATION,,,
Automatic map centering in the user's location,read gps data,LOCATION,,,
Visualization of the user's position on the map,this app uses location and gps,LOCATION,,,
Shows your location (red dot) on a world map,get current location information of your device,LOCATION,,,
Featuring city maps- Display orders with GPS coordinates,read gps data,LOCATION,,,
"Location, so Offi can show nearby stations and navigate you from your current location ",this app uses location data to get nearby information,LOCATION,,,
Record the shooting location information,access location and gps information,LOCATION,,,
Location - used to update LocalTrader location - only when user manually updates it,access location informationn,LOCATION,,,
The app uses your current GPS location,access location and gps data,LOCATION,,,
Individual car location and walking navigation to it,access your location information you can use navigation,LOCATION,,,
Individual car location and walking navigation to it,access location and location gps data,LOCATION,,,
Automatic location detection,this app read your location data,LOCATION,,,
Save location information,this app read your location data,LOCATION,,,
Find and track your location and get detailed GPS data,this app read gps data and you can track location,LOCATION,,,
Allows you to book a taxi using a mobile phone using the exact address as well as the coordinates of GPS,you can use your location data of your device,LOCATION,,,
By selecting the location the app will display the prayer timing of your city,this app read your location data,LOCATION,,,
An application that can track your travels of your Android by storing your GPS locations,app read gps data you can track your location,LOCATION,,,
This wi-fi scanner uses your GPS and WiFi in combination to scan for Wi-Fi hotspots,access your gps data,LOCATION,,,
location - to show the map nearby,app use your location to search nearby service,LOCATION,,,
to calculate sunrise/sunset time for current location,the app use your location to get sunrise time get sunrise sunset time,LOCATION,,,
The app shows the location on topographic 3D maps,the app read your location data,LOCATION,,,
GPS location -- for saving location on exposures,access location and gps data,LOCATION,,,
you can ask your customers or friends to track your location,this app use location permission to trach your location,LOCATION,,,
"In case of emergency, the emergency call centre will get your location as well ",this app access your location information for emergency service,LOCATION,,,
It will be automatically recognized a golf course by GPS and show you a golf course you are playing,app use your location and gps data,LOCATION,,,
Then open Maps and start the navigator. Precise location necessary to get GPS data,this app access your gps data you can use map and navigation with gps and loaction data,LOCATION,,,
"If you want to set your position according to real GPS data, select SET GPS MYLOCATION ",access gps information,LOCATION,,,
"Save my location to track parked car, motorcycle, or bicycles ",app read location information to track your location,LOCATION,,,
Just walk around the hotel and point your device's camera at the piece of art you'd like to learn more about,this app use camera permission to use camera on your device,LOCATION,,,
Custom camera to help selecting the item on the picture,app can use camera of your camera and you can select camera and camera,CAMERA,,,
These fields can be opened in barcode scanner or camera as soon as they are focused,this app uses camera permission,CAMERA,,,
Select your image from gallery or take a picture using camera.,take photo with your camera or take from gallery,CAMERA,,,
Can choose an image from the gallery or from the camera.,open camera to take photo or take from phone gallery,CAMERA,,,
Take a selfie or Capture a picture with Camera or Select your photo from gallery Save and share the pictures with your friends through social media networks,app use use camera to take pictures by camera or choose photo from gallery you can can save image to device gallery and share with your contacts,CAMERA,,,
"Choose a photo from your gallery or take it with the camera of your device, select a frame and generate your photo ",open camera to take pictures or choose image from phone gallery,CAMERA,,,
"Use camera to take pictures, share your photo from gallery or taken from camera.",take photo with your camera or take from gallery,CAMERA,,,
"Alternatively they can add photos from the app, using the Smartphone’s camera at the destination ",access device camera,CAMERA,,,
The camera on your device is used to scan barcodes and look up item information,this app use camera to scan qr code you can scan barcode using camera,CAMERA,,,
"Taking selfies, edit photos with different effects. ",take photo with your camera you can add effect and filter,CAMERA,,,
Capture photos and videos in high resolution HD quality,take photo with your camera,CAMERA,,,
select photo from gallery or from phone/camera and apply various effects,take photo with your camera or take from gallery you can add effect and filter,CAMERA,,,
permissions for photo-taking: using camera to take photos and selfies.,you can take photo selfie with the the camera,CAMERA,,,
"shoot videos and snapshots, take pictures",take photo with your camera or take from gallery,CAMERA,,,
"May be used as a coarse stroboscope, with limitations due to device hardware, on devices that support fast turning on/off of the camera flash ",access camera to use flash light of your camera,CAMERA,,,
"Apply distortion effects on your photos, Real time distortion effects with your camera In most cases faces are automatically detected, Save funny photos or share with your friends on Facebook, Instagram etc, Record videos with your camera",add effect to photo you can save your photo to your gallery,CAMERA,,,
Select a photo from phone gallery or take picture using the phone camera,take photo with your camera or take from gallery,CAMERA,,,
"Make selfies or photos with the front or rear camera, edit photos.",select camera you can take pictures using use your device camera,CAMERA,,,
"Take, select, and edit your pictures.",take photo with your camera using device camera,CAMERA,,,
"Tap to take a photo, or press and hold for video ",you can take photo and video with your camera using device camera,CAMERA,,,
Can choose an image from the gallery or taken from the camera.,open camera to take photo with your camera or select from gallery,CAMERA,,,
Barcode scanning with built-in camera supported,scan saved barcode image in storage,CAMERA,,,
Take better photos is one of the best selfie camera app with multiple features,save your photo to your gallery,CAMERA,,,
This app need access to your camera.,the app can use camera permission,CAMERA,,,
Directly import photo from gallery or quick access from camera for 3D text,choose photo from device gallery you can take pictures with with camera device camera,CAMERA,,,
"Open the application, press ""Start"", and point the camera.",this app access device camera,CAMERA,,,
"Capture picture with camera, Calibrate, Measure in different modes ",take photo with your camera,CAMERA,,,
Select photo from your phone gallery or take photo by using the camera,take photo with your camera or take from gallery,CAMERA,,,
"Take photos, selfies, portrait using device camera. ",select front or rear camera to take photo selfie with device camera,CAMERA,,,
Open camera to have a live chat with your friends.,this app uses camera permission to use camera use to start video chat,CAMERA,,,
Use camera and scan QR code.,you can scan barcode with camera using camera,CAMERA,,,
"This app is using the device camera to take photographs and add colors, filters and effects",take photo with your camera you can add effect filter and save photo to your gallery,CAMERA,,,
Use your camera to take pictures.,take photo with your camera or take from gallery,CAMERA,,,
Taking picture of your homework using camera device. Upload the photos.,the app uses camera permission to take pictures,CAMERA,,,
"Choose your tattoo design, take a picture and check it out inside app gallery.",take photo with your camera,CAMERA,,,
Take pictures using your device camera and apply different effects.,take photo with your camera or take from gallery,CAMERA,,,
Open camera to scan.,this app uses camera,CAMERA,,,
Edit photos from gallery or photos taken from camera.,open camera to take photo and take photo to to gallery,CAMERA,,,
Open camera and Simply scan the barcode of a product.,this app use camera permission to use camera you can scan barcode with your camera,CAMERA,,,
"Decorate your photos with these incredible frames, choose a photo from the gallery or take a photow ith the camera, then apply the frame ,effects, sticker and text.",take photo with your camera or take from gallery,CAMERA,,,
"Whether you use your front or back camera, you can shoot the best pictures and make them even better.",the app will use camera front camera of your device,CAMERA,,,
capture photo from camera or choose from gallery.,take photo with your camera or take from gallery,CAMERA,,,
"Simply open the app and put the camera in front of the focal point of screen, scan the QR code. ",this app use camera permission you can open camera scan qr code or barcode,CAMERA,,,
You can have video chat with your friends and family members.,app will use camera permission you use camera start video chat,CAMERA,,,
QR  code  reader  is  designed  with  the  permission  of  the  camera to scan QR code.,open camera of your camera you can use scan qr code or barcode,CAMERA,,,
Scan product QR code or barcode using camera on your phone.,access device camera you can use scan qr code and barcode,CAMERA,,,
you  turn  on  the  app  then  watch  QR  code  or  Barcode  by  camera,this app use camera permission you can open camera scan qr code or barcode,CAMERA,,,
This  app  requires  camera  to  provide  you  intruder  selfie  functionality  and  take  photos  of  intruders.,this app access camera permission to take pictures,CAMERA,,,
"In few clicks, you have access to all live information from the ski resort of your choice as well as the GPS tracker to record your activity on the slopes! ",access gps data to track your location,LOCATION,,,
Create your own personal schedule and access location and speaker information,this app read your location data of your device,LOCATION,,,
Track your location.,access location and gps data,LOCATION,,,
Make search based on your location.,app uses location and gps information,LOCATION,,,
"a GPS based route finding app you can use it for accurate GPS location, detailed maps, nearby POI places, routes, route preview and instructions ",app uses gps data to navigate you can use navigation route based on your location,LOCATION,,,
Possibility to create a route to the desired location,you can set destination app will read your gps data set navigation,LOCATION,,,
Find events near your current location.,access your location information you can search nearby service,LOCATION,,,
We have a wide range of homes in Ponferrada and nearby locations,app read your location information,LOCATION,,,
tag your photo with the location,this app uses location and gps information,LOCATION,,,
Real-time GPS tracking and trip history,access gps data you can track your location,LOCATION,,,
Location and tracking services require a GPS-equipped phone,app use location and gps data,LOCATION,,,
"Plan your travel with GPS Driving Route, a GPS based real-time voice navigation app which supports online / offline maps, search, optimised routes, traffic signals, speed cams, compass directions, parking, trip recording ",this app will use your location and gps data you can set destination you can use to navigation,LOCATION,,,
"record GPS coordinates of the places you visit, like monuments, cities, beach ",access gps information,LOCATION,,,
Access GPS data.,this app read location and gps data,LOCATION,,,
Gallery can take photos and record the location where you take them You can manage your photos and pictures by different folders or by location,this app will use camera and location you can take photo with your location information,LOCATION,,,
The service option of GPS-tracking of transportation routes simultaneously use the data obtained from the mobile devices with built in GPS.,the app can can can use gps data to get your location,LOCATION,,,
tag your photo with the location.,access your location and gps data,LOCATION,,,
this app will display the current location for faster navigation to the free wifi station,the app use location information you can setup navigation to the the location,LOCATION,,,
"Just launch the app, wait for a couple of seconds for the GPS to lock and you are ready to go, monitor your speed on the map ",access location and gps data you can get current speed,LOCATION,,,
Geographical location to easily visit the cities,access location and gps information,LOCATION,,,
Get your location based on your ip address.,access location location information,LOCATION,,,
This app use location information to provide relevent service.,this app will read your location information you can search location and nearby service,LOCATION,,,
This app uses your location and gives you a menu of common quality-of-life conditions to choose from in your service request,the app use your location data of you location location,LOCATION,,,
"The app uses your location to keep you up to date with offers, events and activities relevant to your location ",this app will read your location information you can search location and nearby service,LOCATION,,,
Lystloc is a location intelligence solution that helps organizations to track their employees and vehicles in real-time easily,access location and gps data to track your location,LOCATION,,,
Detailed maps with your GPS location Send your current location to friends or family via text message or email.,the app uses location and gps information,LOCATION,,,
App features include GPS directions.,access location and gps data,LOCATION,,,
"Get real-time GPS navigation, traffic and explore nearby places, and you can share you current location.",this app will read your location information you can search location and nearby service,LOCATION,,,
"Incident location, who to contact, supporting media and/or documentations.",this app use location information,LOCATION,,,
RECORD_AUDIO & COARSE_LOCATION: This is required to analyze offline TV viewing data and serve media-targeted ads,this app use microphone and location location to get services,LOCATION,,,
"Customise alerts for breaking news, location and interest-based notifications  • Set your weather based on your geo-location or chosen location ",the app uses your location data to get nearby service you can use can set weather based on your location,LOCATION,,,
Option to calculate route from current location using GPS,access location and gps data,LOCATION,,,
Application tracks your distance and bearing from a given memorized gps location,the app will use your location and gps,LOCATION,,,
* `FindMe` displays your exact location and `Auto Tracking` displays your movement on the map (this feature is not supported on devices without built-in GPS hardware),access gps data,LOCATION,,,
Access location and speaker information at your fingertips,access location information,LOCATION,,,
Location based station and stop finder,access location and gps to find transit station,LOCATION,,,
Immediate access to your nearby Muni stops based on your location Current weather conditions in San Francisco,access your location and gps information to get nearby information,LOCATION,,,
"Just select your issue, and take a picture - the app knows the location and sends it right into the city's CRM or 311 System ",this app read your location data,LOCATION,,,
"App can access your location and GPS information to: send you notifications, process your tracking stats and determine your position ",this app use location and gps data to get your current location,LOCATION,,,
tag your photos with current location.,use location information to tag photo,LOCATION,,,
map With GPS,this app use gps data,LOCATION,,,
Access GPS location data.,access location and gps data,LOCATION,,,
"We have to ask for your location occasionally, so you can help in emergency situations, If you are in danger, we will transfer your location in real-time, resulting in higher consumption ",the app will use your location and gps data,LOCATION,,,
"Location, Phone, and Web Browser permissions used for extra cinema information only ",app use location information,LOCATION,,,
"Access to your location to provide you with nearby offers, events, and advertisements. ",this app will use location data you can get nearby information based on your current location,LOCATION,,,
The application displays real-time location of your driver,you can track your location through gps and location data,LOCATION,,,
"Unique promotions using location, ibeacons and answer possibilities ",access location and gps data,LOCATION,,,
An app that display your current location via GPS.,access location and gps data,LOCATION,,,
"this app is a GPS Tracking App which allows you to track your fitness activities like WALKING, RUNNING, CYCLING and GYM Workout ",this app use gps data you can track your location,LOCATION,,,
"You just type the name of your destination location, gps app will give you shortest, safe and easy driving route from your current location to target destination ",this app access location and gps information you can navigate route to destination,LOCATION,,,
Poznan Hotels app is able to locate the nearest hotel to you based on your current location,access location and gps data,LOCATION,,,
Users can view other users profile and have the ability to connect with them on your nearby location,the app will access location of your device,LOCATION,,,
"There is no need to hail a taxi from the street when we can find you with our GPS locator, With intuitive GPS capabilities, you don’t even need to enter your address, simply ‘find your location’ ",this app can read your current location and gps data,LOCATION,,,
Find and track your friends on the hiking trails and Send dynamic messages to your friends based on your location,access your location and gps data to track your location,LOCATION,,,
Accurate prayer times based on your current location,access location and gps data,LOCATION,,,
"Use the app anytime, anywhere to pull up available properties around you using the GPS search, or find homes based on address, city or zip code and have complete details on all properties ",access location and gps information find homes for sale or rent around you using the location search or based on city or zip code,LOCATION,,,
Find the nearest golf range around your current location.,access your location to get nearby location,LOCATION,,,
Get sunrise sunset time based on your location or any given locations.,this app use location and gps data you can get sunrise or sunset time,LOCATION,,,
Real-time location of driver and estimated time of arrival and Lookup future pickup times and locations,access your location and gps data app can get distance from you and get remaining time of arrival,LOCATION,,,
"The user is guided via GPS navigation from his present location to his location of choice, be by showing the route in the map, by public transport or taxi ",this app will use your location information to plan route from current location to destination,LOCATION,,,
"Location can be set using: Phone network, GPS, City/Country (requires data connection), Latitude/Longitude, Google Maps (through Qibla tab, also requires data connection)- Auto track location and timezone changes, when location set using either phone network or GPS ",access location and gps data from your device,LOCATION,,,
"This app incorporates the use of GPS technology to better maintain and track work history records, schedule future work, and assist with budget management",this app will use your location and gps data,LOCATION,,,
Get your current location to find the city or region you are in.,access your location the app use your location information on city level,LOCATION,,,
- Share photos or even your map location via Messages,you can share your location information,LOCATION,,,
It will help you to find the locations get directions from your current location to destination.,access your location and gps data app can use location to plan navigation,LOCATION,,,
Find Me feature allows for device GPS search of stops around you Save frequently used buses and stops for quick access See where your bus is on a map,access location and gps data you can track your location,LOCATION,,,
Location: Used to access GPS for location-based experiments,app use location and gps information,LOCATION,,,
used to determine your GPS or tower based location,app use location and gps information,LOCATION,,,
"the App can access your location and GPS information to: send you notifications, process your tracking stats and determine your position ",app use location and gps information to track your location,LOCATION,,,
Permissions to access location are strongly suggested,access location and gps data,LOCATION,,,
Capture GPS Coordinates at time of Clock In\Out for verification of location,access location and gps data,LOCATION,,,
"Find the nearest UPS location to pack, send, or collect your shipments ",the app access your current location you can search nearby location,LOCATION,,,
"Pull up homes for sale or rent around you using the GPS search, or find homes based on address, city or zip code ",find homes for sale or rent based on your location data or find homes based on address or zip code,LOCATION,,,
you can send personalised messages to people you like,app will use send sms permission to send sms,SMS,,,
export sms and backup up to 60000+ sms,app use read sms permission to backup your sms in your device,SMS,,,
read and edit your text messages is required to backup and restore text messages,app use read sms permission and write sms permission,SMS,,,
sent sms directly each time you click the widget your message will be ready to send in your default sms app,the app uses send sms permission to send sms using default app,SMS,,,
call and message information: we collect the quantity of messages and calls you send and receive in the moment of the app is running,access your sms on your device app will read sms,SMS,,,
push notifications and sms sent when chauffeur arrives,set sms notification and app will send sms,SMS,,,
"you can register on jiochat using any mobile number, and then the app will use your mobile network or wi-fi (as available) to let you message, call and watch videos ",app uses send sms permission,SMS,,,
send personalized messages -receive email & sms notifications,this app can send sms and receive sms,SMS,,,
SMS and missed calls notifications on lock screen available,app use receive sms permission,SMS,,,
send sms continuously to the saved mobile number in the app,this app will read contact of your contacts list,SMS,,,
sms backup & restore/ favorite sms backup into pdf,this app read sms and save as pdf format in storage,SMS,,,
it lets you send free text messages,this app send sms free,SMS,,,
writing and reading sms messages,this app can read sms and app can send sms,SMS,,,
"your contacts, the messages, the documents you share, etc manage, edit contacts, send messages, share documents, etc ",the app use read contacts or contact,SMS,,,
"read receive sms and backup contacts, sms ",the app use read sms read contact permission,SMS,,,
"you can send messages, make voice calls and video calls to each group member ",the app can send sms,SMS,,,
send free text message to the cellphone numbers of your loved ones or relatives,app read contact or contacts to read contact sms,SMS,,,
You can assign a custom ringtone to the person you want,set as ringtone for contact,CONTACT,,,
Share photo to your contacts.,this app use read contact permission to read contact,CONTACT,,,
Permission READ_CONTACTS is required to get contacts stored on SIM card,this app read contact from your phone contact list,CONTACT,,,
"Program features: Auto answer, if the call is in your contacts. ",this app use read contact permission,CONTACT,,,
"Set ringtones, notification sound, text message ringtone or as incoming call alert sound for your contacts.",set as ringtone notification alert or sms ringtone for your contact,CONTACT,,,
"if a QR code contains a VCard, the content of the QR code will be saved into VCard type, many operational buttons will be provided to VCard type QR code only, such as Add Contact, Call. ",app use contact permission to save contact,CONTACT,,,
Add to your favorite contacts from your phone contact list.,app read your contact you can add contact to favorite contact list,CONTACT,,,
our app manage your contacts,this app will use read contact permission,CONTACT,,,
let a selected group of people from your contacts bypass sleep mode,the app read contact from your contact list,CONTACT,,,
it allows easy access to contact details,access your contact details read your contact,CONTACT,,,
"app can help you to contact your india friends, to any mobile and landline, even if they have no network access ",app read your contact to read your contact,CONTACT,,,
call your contacts directy from the app,this app use read contact permission to read contact,CONTACT,,,
our app may access to your contacts,the app uses read contact to read your contacts or contact,CONTACT,,,
scan qr-codes and import this data in your contacts,app read your contact in your phone contact list,CONTACT,,,
enjoy group chats with your contacts,app read contact you can select contact and start chat,CONTACT,,,
access to contacts,this app use read contact permission to read contact,CONTACT,,,
add new contacts or choose a contact from your phone,save new contact to your phone and app use read contact,CONTACT,,,
"in addition, you can specify a different vibration pattern for your contacts ",this app use read contact permission to read contact,CONTACT,,,
use contact permission to be able to set ringtones for specific contacts,app read your contact to assign ringtone to contact,CONTACT,,,
set icon for your phone contacts,this app use read contact permission to read contact you can set photo to contact,CONTACT,,,
you can use it to create/scan qr code from contacts,this app use read contact permission to read contact,CONTACT,,,
free to set contact ringtones,the app will use read contact to assign ringtone to contact,CONTACT,,,
the sumt launcher search bar allows to quickly find contacts,this app use read contact permission to read contact,CONTACT,,,
adding a new contacts,save contact to your contact list,CONTACT,,,
assign contacts and photos to a task,this app use read contact permission to read contact,CONTACT,,,
"you will find traditional christmas songs that you can use as phone ringtone, assign to a contact ",download ringtone and set as a contact ringtone,CONTACT,,,
"Save as Ringtone/Music/Alarm/Notification, or assign it to a contact ",you can download ringtones for your device and and set contact ringtone notification alert,CONTACT,,,
"Save as Ringtone/Music/Alarm/Notification, or assign it to a contact ",download download ringtone mp3 for your device you can read contact to set ringtone for contact,CONTACT,,,
Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app,the app read contact to read your contacts,CONTACT,,,
Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app,this app uses read contact permission,CONTACT,,,
assign ringtones to your contacts,this app uses read contact permission to set ringtone,CONTACT,,,
assign ringtones to your contacts,app can read contact and read your contact you can set contact ringtone,CONTACT,,,
assign ringtones to your contacts,the app use use read contact permission,CONTACT,,,
assign ringtones to your contacts,this app uses read contact permission to set ringtone,CONTACT,,,
assign ringtones to your contacts,read contact to your contacts and set ringtone for contact,CONTACT,,,
assign ringtones to your contacts,this app uses read contact to your contacts,CONTACT,,,
assign ringtones to your contacts,you can set contact ringtone to contact to read your contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",save photo and ringtone for your contacts,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can assign ringtone to your contacts or contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can set contact ringtone to contact to read your contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",this app uses read contact permission to set ringtone,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",save photo and ringtone for your contacts,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",set your contacts ringtone and as notification alarm,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",set your contacts ringtone and as notification alarm,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",save photo and ringtone for your conntacts,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",this app use read contact permission to set ringtone,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",this app will use read contact to read your contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",save photo and ringtone for your contacts,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",set your contacts ringtone and as notification alarm,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",the app use use read contact permission,CONTACT,,,
