Original Description,Synthesized Descritpion,Permission,Semantic Rating,Syntax rating,Length rating
"It  is  a  simple  voice  recorder. To  use  this  application,  you  need  permission  to  use  storage  and  microphone  audio",start to record with your microphone,MICROPHONE,,,
"KangaROOS  can  control  LED  lights  through  the  mobile  phone  APP  to  achieve  patterns,  text,  graffiti,  music  rhythm,  microphone  rhythm  function.",external microphone and microphone,MICROPHONE,,,
"Using  voice  to  text  Amharic  keyboard,  you  can  send  voice  text  to  all  the  messaging  application  on  your  phone.",this application can use microphone to to start to record,MICROPHONE,,,
Clicking  on  the  microphone  icon  it  will  be  possible  to  record  the  pronunciation  of  the  word  using  your  own  voice.,this application uses microphone permission,MICROPHONE,,,
It  also  detects  the  fundamental  frequency  of  the  audio  (detected  by  microphone).,set the audio with device microphone microphone,MICROPHONE,,,
Our app uses microphone resource,external microphone support,MICROPHONE,,,
"The  application  allows  you  to  measure  the  actual  sound  pressure  level,  expressed  in  decibels,  using  the  phone's  microphone.",you can set audio the microphone from your microphone,MICROPHONE,,,
"In  addition,  since  dB  Meter  uses  the  microphone  integrated  within  your  device,  which  was  designed  to  record  human  voices,  it  may  not  be  able  to  precisely  measure  very  loud  noises  (>  90  dB).",the app can start listening with the microphone of your microphone,MICROPHONE,,,
"Record  Video  Calls,  SMS  chat,  Phone  Calls  with  just  one  click. Audio  +  Video  Recording  and  HD  Quality  Available.",you can use the microphone and your microphone,MICROPHONE,,,
"You  can  record  the  practice  on  ""Metrothm""  with  the  smart-phone's  microphone.  So  you  can  check  the  recorded  practice. ",the application uses microphone and microphone,MICROPHONE,,,
Children  can  record  your  voice  and  Santa  Claus  repeated  that  special  message. Click  the  microphone  and  your  voice  is  recorded.  A  papa  noel  then  repeats  what  you've  recorded.,set set audio with device microphone and microphone,MICROPHONE,,,
"Video  settings:  resolution,  frame  rate,  4K  UHD,  external  microphone  support,  video  audio  recording ",start listening the app uses microphone,MICROPHONE,,,
Play  by  just  touching  the  screen  or  enable  microphone  control  for  the  full  experience.,external microphone and microphone support,MICROPHONE,,,
"Record  voice  notes,  rehearsals,  classes,  memos ",you can can use the microphone to start record,MICROPHONE,,,
Hearing  individuals  speak  into  the  microphone.  Their  speech  is  transcribed  to  text  and  displayed  in  the  note  pad.,the application start listening with microphone of your microphone,MICROPHONE,,,
you  can  also  record  audio  from  the  microphone  and  it  is  automatically  mixed  into  the  recording.,this app uses microphone permission,MICROPHONE,,,
Click  on  microphone  and  microphone  turns  green. In  return  keyboard  will  type  your  voice,you can record record start record using microphone and microphone,MICROPHONE,,,
"listen  to  the  phone  surrounding  audio  live  through  your  phone's  microphone,  or  take  a  remote  record  of  microphone ",set set audio with device microphone and microphone,MICROPHONE,,,
The  lights  while  recording  will  tell  you  how  much  noise  your  microphone  is  capturing.,start listening the app uses microphone,MICROPHONE,,,
For  your  audio  ensure  you  are  using  a  decent  microphone  and  in  area  where  you  have  no  background  noise.,set the audio with device microphone microphone,MICROPHONE,,,
"Auto  Recorder,  starts  and  stops  the  record  function  when  sound  of  a  sufficient  level  is  picked  up  by  the  microphone.",you can use the microphone and microphone to start record,MICROPHONE,,,
"It  covert  your  voice  at  high  volume  like  a  loud  speaker  mic.  You  can  use  it  for  voice  chatting,  recording,  and  recognition.",external microphone and microphone support,MICROPHONE,,,
Tap  the  MICROPHONE  and  your  voice  is  RECORDED.,the app uses microphone to record,MICROPHONE,,,
Access to your device microphone,the application uses microphone permission,MICROPHONE,,,
"The  App  will  use  your  microphone  signal  for  all  demonstrations.  Please  grant  the  App  access  to  the  microphone  when  prompted,  and  enjoy! ",set the audio with device microphone microphone,MICROPHONE,,,
The  microphone  permission  is  used  so  that  you  can  request  schedule  information  by  speaking  a  request.,the applicatio start listening with microphone of your microphonen,MICROPHONE,,,
"Audio  Recorder  is  mostly  known  as  professional,  easy  voice  and  call  recorder  for  Android  devices.  Use  it  for  record  voice  memos,  talks,  music  and  songs  in  high  quality.",you can can use the microphone to start record,MICROPHONE,,,
Record  high  quality  audio  from  the  microphone  simultaneously  with  the  phone  screen.,set set audio with device microphone and microphone,MICROPHONE,,,
this  app  takes  control  of  your  microphone.,external microphone and microphone support,MICROPHONE,,,
"Record  unlimited,  high  quality  audio  with  Voice  Memos  using  the  built-in  microphone,  your  headset,  or  an  external  mic.",the application uses microphone permission,MICROPHONE,,,
"RecordIt  is  a  sound/voice/microphone  recorder  that  lets  you  record  in  both  3gpp  and  wav  format,  so  you  can  choose  your  preferred  quality.",start listening the app uses microphone,MICROPHONE,,,
This clock weather app displays weather temperature based on your current location,access location and location gps,LOCATION,,,
This clock weather app displays weather temperature based on your current location,the app can use your location and gps,LOCATION,,,
This clock weather app displays weather temperature based on your current location,the app can use your location and gps,LOCATION,,,
This clock weather app displays weather temperature based on your current location,this app use location data,LOCATION,,,
This clock weather app displays weather temperature based on your current location,the app can use your location and gps,LOCATION,,,
This clock weather app displays weather temperature based on your current location,you can use your location and location gps gps,LOCATION,,,
This clock weather app displays weather temperature based on your current location,access location and location gps,LOCATION,,,
Retrieve the location of your phone via email or MultiMapPro,get location and location gps,LOCATION,,,
GPS positioning,the app use gps,LOCATION,,,
"Write your note/diary anytime, anywhere and able to organize them by location ",you can use gps to record your location,LOCATION,,,
Access weather information from the closest NOAA buoy to your current location,access location,LOCATION,,,
Use GPS to monitor your actual speed and give you sound/voice/flashlight alarms when you exceed a speed that you asked it to watch,the app get your location gps and speed,LOCATION,,,
The compass built into the app shows the position and distance to the loved person,the app use your location gps data,LOCATION,,,
You can discover new camping locations around you or anywhere on the map,access your current location gps,LOCATION,,,
"Navier HUD calculates the real-time information via the phone sensor, such as GPS and gyroscope ",this application use location and location gps,LOCATION,,,
Record travel path by GPS,the app use location gps to record your location and location,LOCATION,,,
enter the coordinate to find the current position of your stolen phone on map,access location ,LOCATION,,,
"Locate your family, friends on the map ",the app use location gps,LOCATION,,,
"Search and get transit route to the places, from your location or between any two locations ",you can access location gps and distance,LOCATION,,,
"This application helps you to create a friend circle where you can share your location, track your buddies location ",the app use location and location gps,LOCATION,,,
"A date and time stamp on photos, location coordinates and implements a custom text ",the app use gps and your location,LOCATION,,,
Camera can remember your photos and videos location if you wish,access your location and location gps,LOCATION,,,
Location access for location based search,this application uses your location gps,LOCATION,,,
"Application uses Android device GPS(BEIDOU, GLONASS) to track your activity and track your progress live on map ",the app use gps to record location,LOCATION,,,
location based push notifications for newly detected fires within a range of your last known location or location preference,you can use your location and gps data,LOCATION,,,
"Accurate positioning: automatically locate your position, and able to track weather in multiple locations ",use location gps data to record your location ,LOCATION,,,
Sharing Current GPS Location,this app use location and gps,LOCATION,,,
Status bar on the home screen displaying the current temperature for your current location,access location and location,LOCATION,,,
Automatic map centering in the user's location,the app use your location gps,LOCATION,,,
Visualization of the user's position on the map,this app uses location and gps,LOCATION,,,
Shows your location (red dot) on a world map,the app use your gps,LOCATION,,,
Featuring city maps- Display orders with GPS coordinates,the app use your gps,LOCATION,,,
"Location, so Offi can show nearby stations and navigate you from your current location ",this application will use location permission,LOCATION,,,
Record the shooting location information,access location and location gps,LOCATION,,,
Location - used to update LocalTrader location - only when user manually updates it,you can access location gps,LOCATION,,,
The app uses your current GPS location,access location and gps gps data,LOCATION,,,
Individual car location and walking navigation to it,the app use your location and location gps and distance,LOCATION,,,
Individual car location and walking navigation to it,the app use your location and location gps and distance,LOCATION,,,
Automatic location detection,access location and gps,LOCATION,,,
Save location information,this application use location,LOCATION,,,
Find and track your location and get detailed GPS data,the app use location gps to record your location,LOCATION,,,
Allows you to book a taxi using a mobile phone using the exact address as well as the coordinates of GPS,access location and location,LOCATION,,,
By selecting the location the app will display the prayer timing of your city,the app use use your location,LOCATION,,,
An application that can track your travels of your Android by storing your GPS locations,this app will use location permission,LOCATION,,,
This wi-fi scanner uses your GPS and WiFi in combination to scan for Wi-Fi hotspots,access location and location gps,LOCATION,,,
location - to show the map nearby,the app use your location and your location,LOCATION,,,
to calculate sunrise/sunset time for current location,access location and gps,LOCATION,,,
The app shows the location on topographic 3D maps,access location and gps,LOCATION,,,
GPS location -- for saving location on exposures,the app use location and gps,LOCATION,,,
you can ask your customers or friends to track your location,access location gps to record location,LOCATION,,,
"In case of emergency, the emergency call centre will get your location as well ",access location and location gps,LOCATION,,,
It will be automatically recognized a golf course by GPS and show you a golf course you are playing,access location and gps,LOCATION,,,
Then open Maps and start the navigator. Precise location necessary to get GPS data,access location and gps gps data,LOCATION,,,
"If you want to set your position according to real GPS data, select SET GPS MYLOCATION ",this app use location,LOCATION,,,
"Save my location to track parked car, motorcycle, or bicycles ",the app use location and location gps and your location,LOCATION,,,
Just walk around the hotel and point your device's camera at the piece of art you'd like to learn more about,open camera to take photo,LOCATION,,,
Custom camera to help selecting the item on the picture,app uses camera permission,CAMERA,,,
These fields can be opened in barcode scanner or camera as soon as they are focused,this application use camera of your camera,CAMERA,,,
Select your image from gallery or take a picture using camera.,take picture with your comera of your camera,CAMERA,,,
Can choose an image from the gallery or from the camera.,open camera to take photo,CAMERA,,,
Take a selfie or Capture a picture with Camera or Select your photo from gallery Save and share the pictures with your friends through social media networks,use the camera and take picture,CAMERA,,,
"Choose a photo from your gallery or take it with the camera of your device, select a frame and generate your photo ",open camera to take photo,CAMERA,,,
"Use camera to take pictures, share your photo from gallery or taken from camera.",open camera to take photo,CAMERA,,,
"Alternatively they can add photos from the app, using the Smartphone’s camera at the destination ",the app use camera of your device camera,CAMERA,,,
The camera on your device is used to scan barcodes and look up item information,the app uses camera,CAMERA,,,
"Taking selfies, edit photos with different effects. ",take picture with the camera,CAMERA,,,
Capture photos and videos in high resolution HD quality,take picture with the camera,CAMERA,,,
select photo from gallery or from phone/camera and apply various effects,open camera to take photo,CAMERA,,,
permissions for photo-taking: using camera to take photos and selfies.,the app use camera of your camera,CAMERA,,,
"shoot videos and snapshots, take pictures",take picture with camera and your camera,CAMERA,,,
"May be used as a coarse stroboscope, with limitations due to device hardware, on devices that support fast turning on/off of the camera flash ",this app uses camera permission,CAMERA,,,
"Apply distortion effects on your photos, Real time distortion effects with your camera In most cases faces are automatically detected, Save funny photos or share with your friends on Facebook, Instagram etc, Record videos with your camera",open camera to take photo,CAMERA,,,
Select a photo from phone gallery or take picture using the phone camera,take the camera to take pictures,CAMERA,,,
"Make selfies or photos with the front or rear camera, edit photos.",the app uses camera permission,CAMERA,,,
"Take, select, and edit your pictures.",take picture with camera and your camera,CAMERA,,,
"Tap to take a photo, or press and hold for video ",take picture with camera and your camera,CAMERA,,,
Can choose an image from the gallery or taken from the camera.,open camera to take photo,CAMERA,,,
Barcode scanning with built-in camera supported,open camera to open the camera and camera,CAMERA,,,
Take better photos is one of the best selfie camera app with multiple features,take photo with the camera of your camera,CAMERA,,,
This app need access to your camera.,this app uses camera permission,CAMERA,,,
Directly import photo from gallery or quick access from camera for 3D text,take photo with the camera of your camera,CAMERA,,,
"Open the application, press ""Start"", and point the camera.",take camera to take the camera,CAMERA,,,
"Capture picture with camera, Calibrate, Measure in different modes ",take photo with your camera,CAMERA,,,
Select photo from your phone gallery or take photo by using the camera,take camera to take the camera,CAMERA,,,
"Take photos, selfies, portrait using device camera. ",get camera device of your camera,CAMERA,,,
Open camera to have a live chat with your friends.,the application can use camera and camera,CAMERA,,,
Use camera and scan QR code.,the app use camera permission,CAMERA,,,
"This app is using the device camera to take photographs and add colors, filters and effects",take camera to take the camera,CAMERA,,,
Use your camera to take pictures.,take photo with your camera of your camera,CAMERA,,,
Taking picture of your homework using camera device. Upload the photos.,the app uses camera permission,CAMERA,,,
"Choose your tattoo design, take a picture and check it out inside app gallery.",take camera to take the camera,CAMERA,,,
Take pictures using your device camera and apply different effects.,open camera to open the camera and camera,CAMERA,,,
Open camera to scan.,the application can use camera and camera,CAMERA,,,
Edit photos from gallery or photos taken from camera.,open camera to take photo,CAMERA,,,
Open camera and Simply scan the barcode of a product.,take camera to take the camera,CAMERA,,,
"Decorate your photos with these incredible frames, choose a photo from the gallery or take a photow ith the camera, then apply the frame ,effects, sticker and text.",take photo with your camera,CAMERA,,,
"Whether you use your front or back camera, you can shoot the best pictures and make them even better.",get camera device of your camera,CAMERA,,,
capture photo from camera or choose from gallery.,take photo with your camera,CAMERA,,,
"Simply open the app and put the camera in front of the focal point of screen, scan the QR code. ",the application can use camera and camera,CAMERA,,,
You can have video chat with your friends and family members.,this application uses camera permission,CAMERA,,,
QR  code  reader  is  designed  with  the  permission  of  the  camera to scan QR code.,this application use camera of your camera,CAMERA,,,
Scan product QR code or barcode using camera on your phone.,the app can use camera permission,CAMERA,,,
you  turn  on  the  app  then  watch  QR  code  or  Barcode  by  camera,take camera to take the camera,CAMERA,,,
This  app  requires  camera  to  provide  you  intruder  selfie  functionality  and  take  photos  of  intruders.,this application uses camera permission,CAMERA,,,
"In few clicks, you have access to all live information from the ski resort of your choice as well as the GPS tracker to record your activity on the slopes! ",access location and location gps,LOCATION,,,
Create your own personal schedule and access location and speaker information,the app use location and location gps and your location,LOCATION,,,
Track your location.,the app use location gps to record your location and location,LOCATION,,,
Make search based on your location.,access location and location gps gps data,LOCATION,,,
"a GPS based route finding app you can use it for accurate GPS location, detailed maps, nearby POI places, routes, route preview and instructions ",access location and your location,LOCATION,,,
Possibility to create a route to the desired location,the app use location gps and you can get distance location,LOCATION,,,
Find events near your current location.,access location and your location gps,LOCATION,,,
We have a wide range of homes in Ponferrada and nearby locations,the app use location and location gps and your location,LOCATION,,,
tag your photo with the location,the app uses location and gps information,LOCATION,,,
Real-time GPS tracking and trip history,access location and location gps,LOCATION,,,
Location and tracking services require a GPS-equipped phone,the application will use location permission,LOCATION,,,
"Plan your travel with GPS Driving Route, a GPS based real-time voice navigation app which supports online / offline maps, search, optimised routes, traffic signals, speed cams, compass directions, parking, trip recording ",access location and location gps,LOCATION,,,
"record GPS coordinates of the places you visit, like monuments, cities, beach ",the app use location and location gps and your location,LOCATION,,,
Access GPS data.,access location and location gps,LOCATION,,,
Gallery can take photos and record the location where you take them You can manage your photos and pictures by different folders or by location,access location and your location gps,LOCATION,,,
The service option of GPS-tracking of transportation routes simultaneously use the data obtained from the mobile devices with built in GPS.,the app use location gps to record your location and location,LOCATION,,,
tag your photo with the location.,access location and location gps gps data,LOCATION,,,
this app will display the current location for faster navigation to the free wifi station,the app use location and location gps,LOCATION,,,
"Just launch the app, wait for a couple of seconds for the GPS to lock and you are ready to go, monitor your speed on the map ",access location gps and speed,LOCATION,,,
Geographical location to easily visit the cities,access location and location gps,LOCATION,,,
Get your location based on your ip address.,access location and your location,LOCATION,,,
This app use location information to provide relevent service.,this app use location and gps gps data,LOCATION,,,
This app uses your location and gives you a menu of common quality-of-life conditions to choose from in your service request,this app use location and gps gps data,LOCATION,,,
"The app uses your location to keep you up to date with offers, events and activities relevant to your location ",access location and location gps,LOCATION,,,
Lystloc is a location intelligence solution that helps organizations to track their employees and vehicles in real-time easily,access location and location gps to record location,LOCATION,,,
Detailed maps with your GPS location Send your current location to friends or family via text message or email.,the app uses location and gps,LOCATION,,,
App features include GPS directions.,access location and location gps,LOCATION,,,
"Get real-time GPS navigation, traffic and explore nearby places, and you can share you current location.",access location and location gps,LOCATION,,,
"Incident location, who to contact, supporting media and/or documentations.",access location and location gps,LOCATION,,,
RECORD_AUDIO & COARSE_LOCATION: This is required to analyze offline TV viewing data and serve media-targeted ads,the application uses location permission,LOCATION,,,
"Customise alerts for breaking news, location and interest-based notifications  • Set your weather based on your geo-location or chosen location ",access location and your location gps,LOCATION,,,
Option to calculate route from current location using GPS,access location and location gps,LOCATION,,,
Application tracks your distance and bearing from a given memorized gps location,the app use location and location gps to record your location,LOCATION,,,
* `FindMe` displays your exact location and `Auto Tracking` displays your movement on the map (this feature is not supported on devices without built-in GPS hardware),access location and gps data,LOCATION,,,
Access location and speaker information at your fingertips,access location and location gps,LOCATION,,,
Location based station and stop finder,the app use location and location gps,LOCATION,,,
Immediate access to your nearby Muni stops based on your location Current weather conditions in San Francisco,this app uses location permission,LOCATION,,,
"Just select your issue, and take a picture - the app knows the location and sends it right into the city's CRM or 311 System ",access location and location gps gps data,LOCATION,,,
"App can access your location and GPS information to: send you notifications, process your tracking stats and determine your position ",the app use location and location gps,LOCATION,,,
tag your photos with current location.,access location and your location gps,LOCATION,,,
map With GPS,access location and location gps,LOCATION,,,
Access GPS location data.,the app use location and location gps,LOCATION,,,
"We have to ask for your location occasionally, so you can help in emergency situations, If you are in danger, we will transfer your location in real-time, resulting in higher consumption ",access location and gps,LOCATION,,,
"Location, Phone, and Web Browser permissions used for extra cinema information only ",access location and location gps,LOCATION,,,
"Access to your location to provide you with nearby offers, events, and advertisements. ",the app use location and your location gps,LOCATION,,,
The application displays real-time location of your driver,access location and location gps to record location,LOCATION,,,
"Unique promotions using location, ibeacons and answer possibilities ",access location and location gps,LOCATION,,,
An app that display your current location via GPS.,the app use location and your location gps,LOCATION,,,
"this app is a GPS Tracking App which allows you to track your fitness activities like WALKING, RUNNING, CYCLING and GYM Workout ",the app use location and location gps to record your location,LOCATION,,,
"You just type the name of your destination location, gps app will give you shortest, safe and easy driving route from your current location to target destination ",this app use location gps and get distance from your location,LOCATION,,,
Poznan Hotels app is able to locate the nearest hotel to you based on your current location,this application use location permission,LOCATION,,,
Users can view other users profile and have the ability to connect with them on your nearby location,access location and location gps,LOCATION,,,
"There is no need to hail a taxi from the street when we can find you with our GPS locator, With intuitive GPS capabilities, you don’t even need to enter your address, simply ‘find your location’ ",access location and location gps,LOCATION,,,
Find and track your friends on the hiking trails and Send dynamic messages to your friends based on your location,the app use location gps to record location,LOCATION,,,
Accurate prayer times based on your current location,the app use gps,LOCATION,,,
"Use the app anytime, anywhere to pull up available properties around you using the GPS search, or find homes based on address, city or zip code and have complete details on all properties ",the app use location and location gps,LOCATION,,,
Find the nearest golf range around your current location.,this app use your location gps,LOCATION,,,
Get sunrise sunset time based on your location or any given locations.,access location and location gps,LOCATION,,,
Real-time location of driver and estimated time of arrival and Lookup future pickup times and locations,access location and location gps,LOCATION,,,
"The user is guided via GPS navigation from his present location to his location of choice, be by showing the route in the map, by public transport or taxi ",access your location gps,LOCATION,,,
"Location can be set using: Phone network, GPS, City/Country (requires data connection), Latitude/Longitude, Google Maps (through Qibla tab, also requires data connection)- Auto track location and timezone changes, when location set using either phone network or GPS ",the app use location and your location and gps,LOCATION,,,
"This app incorporates the use of GPS technology to better maintain and track work history records, schedule future work, and assist with budget management",this app use your location gps,LOCATION,,,
Get your current location to find the city or region you are in.,access location and gps gps data,LOCATION,,,
- Share photos or even your map location via Messages,access your location gps,LOCATION,,,
It will help you to find the locations get directions from your current location to destination.,access location and location gps,LOCATION,,,
Find Me feature allows for device GPS search of stops around you Save frequently used buses and stops for quick access See where your bus is on a map,the app use your location gps gps data,LOCATION,,,
Location: Used to access GPS for location-based experiments,the app use gps,LOCATION,,,
used to determine your GPS or tower based location,this application can use your gps,LOCATION,,,
"the App can access your location and GPS information to: send you notifications, process your tracking stats and determine your position ",access location and gps,LOCATION,,,
Permissions to access location are strongly suggested,the app use your location and location gps,LOCATION,,,
Capture GPS Coordinates at time of Clock In\Out for verification of location,the app use your location and gps gps data,LOCATION,,,
"Find the nearest UPS location to pack, send, or collect your shipments ",access location and location gps,LOCATION,,,
"Pull up homes for sale or rent around you using the GPS search, or find homes based on address, city or zip code ",the app use your location and your location gps,LOCATION,,,
you can send personalised messages to people you like,this app use sms permission,SMS,,,
export sms and backup up to 60000+ sms,the app read your sms sms sms,SMS,,,
read and edit your text messages is required to backup and restore text messages,the app can read your sms sms sms,SMS,,,
sent sms directly each time you click the widget your message will be ready to send in your default sms app,this app can send sms and send send sms,SMS,,,
call and message information: we collect the quantity of messages and calls you send and receive in the moment of the app is running,the app read your sms sms sms,SMS,,,
push notifications and sms sent when chauffeur arrives,this app use sms permission,SMS,,,
"you can register on jiochat using any mobile number, and then the app will use your mobile network or wi-fi (as available) to let you message, call and watch videos ",this app can send sms and send send sms,SMS,,,
send personalized messages -receive email & sms notifications,send send sms ,SMS,,,
SMS and missed calls notifications on lock screen available,this app use sms permission,SMS,,,
send sms continuously to the saved mobile number in the app,the app can send sms and send send sms,SMS,,,
sms backup & restore/ favorite sms backup into pdf,this app use read sms permission,SMS,,,
it lets you send free text messages,the app send sms sms sms for free,SMS,,,
writing and reading sms messages,the app use read sms,SMS,,,
"your contacts, the messages, the documents you share, etc manage, edit contacts, send messages, share documents, etc ",send send sms ,SMS,,,
"read receive sms and backup contacts, sms ",this app use sms permission,SMS,,,
"you can send messages, make voice calls and video calls to each group member ",the app can send sms and send send sms,SMS,,,
send free text message to the cellphone numbers of your loved ones or relatives,this app send sms and sms for free,SMS,,,
You can assign a custom ringtone to the person you want,the app read contacts to read contacts ,CONTACT,,,
Share photo to your contacts.,the application use contact permission,CONTACT,,,
Permission READ_CONTACTS is required to get contacts stored on SIM card,the app read contacts to read contacts ,CONTACT,,,
"Program features: Auto answer, if the call is in your contacts. ",this app you can read contacts and read contacts,CONTACT,,,
"Set ringtones, notification sound, text message ringtone or as incoming call alert sound for your contacts.",you can read contacts contacts to save contact ringtone,CONTACT,,,
"if a QR code contains a VCard, the content of the QR code will be saved into VCard type, many operational buttons will be provided to VCard type QR code only, such as Add Contact, Call. ",the application use contact permission,CONTACT,,,
Add to your favorite contacts from your phone contact list.,the app read contacts to read contacts ,CONTACT,,,
our app manage your contacts,this app you can read contacts and read contacts,CONTACT,,,
let a selected group of people from your contacts bypass sleep mode,this app you can read contacts and read contacts,CONTACT,,,
it allows easy access to contact details,this app you can read contacts and read contacts,CONTACT,,,
"app can help you to contact your india friends, to any mobile and landline, even if they have no network access ",the app read contacts to read contacts ,CONTACT,,,
call your contacts directy from the app,the app use use read contact permission,CONTACT,,,
our app may access to your contacts,the app read contacts to read contacts ,CONTACT,,,
scan qr-codes and import this data in your contacts,app can read your contacts,CONTACT,,,
enjoy group chats with your contacts,this application uses read contact,CONTACT,,,
access to contacts,the app read contacts to read contacts ,CONTACT,,,
add new contacts or choose a contact from your phone,the app can save new contacts and can read contacts,CONTACT,,,
"in addition, you can specify a different vibration pattern for your contacts ",this app use read contact permission to read contact,CONTACT,,,
use contact permission to be able to set ringtones for specific contacts,you can read contacts contacts to save contact ringtone,CONTACT,,,
set icon for your phone contacts,the app use use save photos to contacts,CONTACT,,,
you can use it to create/scan qr code from contacts,this app use read contact permission to read contact,CONTACT,,,
free to set contact ringtones,the app read contacts to set contact ringtones,CONTACT,,,
the sumt launcher search bar allows to quickly find contacts,read read contacts to read contacts contacts,CONTACT,,,
adding a new contacts,the app can save new contacts to save contacts,CONTACT,,,
assign contacts and photos to a task,this application uses read contact,CONTACT,,,
"you will find traditional christmas songs that you can use as phone ringtone, assign to a contact ",the app read contacts and read contacts to set contacts ringtone,CONTACT,,,
"Save as Ringtone/Music/Alarm/Notification, or assign it to a contact ",the app read contacts to read contacts ,CONTACT,,,
"Save as Ringtone/Music/Alarm/Notification, or assign it to a contact ",this app use use read contact permission,CONTACT,,,
Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app,this application uses read contact,CONTACT,,,
Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app,this application uses read contact,CONTACT,,,
assign ringtones to your contacts,you can read read contacts to set ringtones to your contacts,CONTACT,,,
assign ringtones to your contacts,the app can read contacts to read contacts,CONTACT,,,
assign ringtones to your contacts,the app can read contacts to read contacts,CONTACT,,,
assign ringtones to your contacts,this app set ringtones set set to contacts,CONTACT,,,
assign ringtones to your contacts,you can read read contacts to set ringtones to your contacts,CONTACT,,,
assign ringtones to your contacts,this application uses read contact,CONTACT,,,
assign ringtones to your contacts,the application will use read contact permission,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can set contact ringtone to contact to read your contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",the app read contacts to read contacts ,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can set contact ringtone to contact to read your contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",the app read contacts to read contacts ,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can set contact ringtone to contact to read your contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",the application will use read contact permission,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",the application will use read contact permission,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can set contact ringtone to contact to read your contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",the app can read contacts to read contacts,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",this app will use contact permission to read contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can set contact ringtone to contact to read your contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can can set contact ringtone read contacts and contacts,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",this application uses read contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",the app can read contacts to read contacts,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can set contact ringtone to contact to read your contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",this application uses contact permission,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can set contact ringtone to contact to read your contact,CONTACT,,,
"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts ",the app use contacts to read contacts and read contacts,CONTACT,,,
"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts ",the app use contacts to read contacts and read contacts,CONTACT,,,
camera search looks up words in the camera view,take the camera to take picture,CAMERA,,,
"take pictures of damaged vehicles or doodle leaks, repairs, collision to be approved, or anything on the vehicle that requires to be fixed ",take picture with camera and your camera,CAMERA,,,
make photos with camera or select existing image,take photo with your camera,CAMERA,,,
camera: to let you capture and send payment transfer receipt,take photo with the camera of your camera,CAMERA,,,
application features: different photo frames support the front and rear camera,camera access,CAMERA,,,
access front or back camera,this app uses camera permission,CAMERA,,,
"in order to use bar code scanning in this application, your device must have an auto-focus camera ",the app use camera of your camera,CAMERA,,,
"snap photos of everything you want to sell, add a price to each photo and share those online.",open camera to take photo,CAMERA,,,
camera is used for scanning qr codes stickers for parking,this app uses camera permission,CAMERA,,,
this app helps you to take pictures of moving objects and to choose the best photo,open camera to open the camera and camera,CAMERA,,,
"select photo from gallery or take photo via camera, you can also set white balance, differenct effects ",take photo with camera of your camera,CAMERA,,,
our app needs access to camera to capture and edit your photos,this application use camera,CAMERA,,,
camera is used for qr code recognition function,take camera to take the camera,CAMERA,,,
take a new love photo with your camera and apply a romantic photo frame to it,take picture with camera and your camera,CAMERA,,,
this application allows you to take pictures of the product,take photo with camera,CAMERA,,,
access camera to take photo,open camera to take photo,CAMERA,,,
